date,weekday,holiday,holiday_name,rest1,rest2,rest3,rest4,total
01-01-2016,Friday,1,New Year's Day,65,25,67,139,296
01-02-2016,Saturday,0,na,24,39,43,85,191
01-03-2016,Sunday,0,na,24,31,66,81,202
01-04-2016,Monday,0,na,23,18,32,32,105
01-05-2016,Tuesday,0,na,2,15,38,43,98
01-06-2016,Wednesday,0,na,9,11,22,41,83
01-07-2016,Thursday,0,na,15,6,18,30,69
01-08-2016,Friday,0,na,79,32,22,16,149
01-09-2016,Saturday,0,na,44,44,47,99,234
01-10-2016,Sunday,0,na,26,43,49,94,212
01-11-2016,Monday,0,na,9,22,33,37,101
01-12-2016,Tuesday,0,na,6,10,21,20,57
1/13/2016,Wednesday,0,na,1,29,11,24,65
1/14/2016,Thursday,0,na,7,22,20,57,106
1/15/2016,Friday,0,na,32,21,21,21,95
1/16/2016,Saturday,0,na,49,52,50,86,237
1/17/2016,Sunday,0,na,60,25,62,50,197
1/18/2016,Monday,1,Martin Luther King Day,10,19,19,84,132
1/19/2016,Tuesday,0,na,12,27,20,41,100
1/20/2016,Wednesday,0,na,24,19,17,47,107
1/21/2016,Thursday,0,na,37,28,13,28,106
1/22/2016,Friday,0,na,39,55,23,44,161
1/23/2016,Saturday,0,na,42,48,51,47,188
1/24/2016,Sunday,0,na,59,32,64,50,205
1/25/2016,Monday,0,na,34,33,19,9,95
1/26/2016,Tuesday,0,na,9,30,14,23,76
1/27/2016,Wednesday,0,na,5,42,20,38,105
1/28/2016,Thursday,0,na,16,20,22,37,95
1/29/2016,Friday,0,na,57,53,24,16,150
1/30/2016,Saturday,0,na,46,50,45,84,225
1/31/2016,Sunday,0,na,55,15,60,74,204
02-01-2016,Monday,0,na,25,25,31,13,94
02-02-2016,Tuesday,1,Groundhog Day,43,6,19,32,100
02-03-2016,Wednesday,0,na,16,19,16,21,72
02-04-2016,Thursday,0,na,30,6,15,46,97
02-05-2016,Friday,0,na,56,56,24,11,147
02-06-2016,Saturday,0,na,88,36,81,49,254
02-07-2016,Sunday,0,na,65,32,55,25,177
02-08-2016,Monday,0,na,18,6,20,24,68
02-09-2016,Tuesday,0,na,28,17,24,64,133
02-10-2016,Wednesday,0,na,24,19,17,47,107
02-11-2016,Thursday,0,na,34,17,47,78,176
02-12-2016,Friday,0,na,32,36,54,17,139
2/13/2016,Saturday,0,na,75,22,43,87,227
2/14/2016,Sunday,1,Valentine's Day,30,32,47,121,230
2/15/2016,Monday,1,Presidents Day,7,32,30,43,112
2/16/2016,Tuesday,0,na,33,4,17,37,91
2/17/2016,Wednesday,0,na,25,22,21,44,112
2/18/2016,Thursday,0,na,22,30,22,44,118
2/19/2016,Friday,0,na,33,53,29,52,167
2/20/2016,Saturday,0,na,50,59,51,53,213
2/21/2016,Sunday,0,na,21,9,32,85,147
2/22/2016,Monday,0,na,25,2,23,20,70
2/23/2016,Tuesday,0,na,32,11,21,42,106
2/24/2016,Wednesday,0,na,13,21,12,49,95
2/25/2016,Thursday,0,na,37,14,30,49,130
2/26/2016,Friday,0,na,52,41,36,53,182
2/27/2016,Saturday,0,na,84,53,48,113,298
2/28/2016,Sunday,0,na,58,20,63,55,196
2/29/2016,Monday,0,na,53,21,17,22,113
03-01-2016,Tuesday,0,na,7,30,23,37,97
03-02-2016,Wednesday,0,na,13,20,14,21,68
03-03-2016,Thursday,0,na,17,26,17,28,88
03-04-2016,Friday,0,na,56,26,29,24,135
03-05-2016,Saturday,0,na,66,37,60,91,254
03-06-2016,Sunday,0,na,45,37,60,50,192
03-07-2016,Monday,0,na,22,12,25,4,63
03-08-2016,Tuesday,0,na,64,12,24,52,152
03-09-2016,Wednesday,0,na,4,7,19,26,56
03-10-2016,Thursday,0,na,16,25,23,38,102
03-11-2016,Friday,0,na,43,31,33,11,118
03-12-2016,Saturday,0,na,76,43,61,96,276
3/13/2016,Sunday,0,na,53,49,60,26,188
3/14/2016,Monday,0,na,18,3,13,22,56
3/15/2016,Tuesday,0,na,22,15,18,43,98
3/16/2016,Wednesday,0,na,16,22,18,36,92
3/17/2016,Thursday,1,St. Patrick's Day,67,22,65,55,209
3/18/2016,Friday,0,na,63,45,59,17,184
3/19/2016,Saturday,0,na,73,40,44,79,236
3/20/2016,Sunday,0,na,50,32,56,84,222
3/21/2016,Monday,0,na,21,42,31,37,131
3/22/2016,Tuesday,0,na,22,10,22,44,98
3/23/2016,Wednesday,0,na,12,15,14,60,101
3/24/2016,Thursday,0,na,23,14,17,72,126
3/25/2016,Friday,1,Good Friday,75,91,64,41,271
3/26/2016,Saturday,0,na,78,46,59,109,292
3/27/2016,Sunday,1,Easter,25,61,47,104,237
3/28/2016,Monday,1,Easter Monday,35,21,58,44,158
3/29/2016,Tuesday,0,na,58,15,22,70,165
3/30/2016,Wednesday,0,na,23,25,12,43,103
3/31/2016,Thursday,0,na,14,12,25,49,100
04-01-2016,Friday,0,na,36,46,24,19,125
04-02-2016,Saturday,0,na,55,27,50,103,235
04-03-2016,Sunday,0,na,30,20,52,79,181
04-04-2016,Monday,0,na,32,25,23,12,92
04-05-2016,Tuesday,0,na,18,44,22,34,118
04-06-2016,Wednesday,0,na,2,16,18,40,76
04-07-2016,Thursday,0,na,23,16,17,32,88
04-08-2016,Friday,0,na,47,49,22,45,163
04-09-2016,Saturday,0,na,64,16,51,94,225
04-10-2016,Sunday,0,na,53,28,52,30,163
04-11-2016,Monday,0,na,15,8,12,21,56
04-12-2016,Tuesday,0,na,30,12,9,18,69
4/13/2016,Wednesday,0,na,11,12,17,27,67
4/14/2016,Thursday,0,na,7,1,11,23,42
4/15/2016,Friday,0,na,56,52,38,17,163
4/16/2016,Saturday,0,na,80,4,60,31,175
4/17/2016,Sunday,0,na,38,15,41,77,171
4/18/2016,Monday,0,na,3,18,6,27,54
4/19/2016,Tuesday,0,na,11,11,19,40,81
4/20/2016,Wednesday,0,na,20,33,12,22,87
4/21/2016,Thursday,0,na,35,36,22,30,123
4/22/2016,Friday,0,na,28,47,20,48,143
4/23/2016,Saturday,0,na,96,48,39,109,292
4/24/2016,Sunday,0,na,50,22,38,51,161
4/25/2016,Monday,0,na,34,3,12,25,74
4/26/2016,Tuesday,0,na,33,52,11,34,130
4/27/2016,Wednesday,0,na,16,16,18,17,67
4/28/2016,Thursday,0,na,25,65,26,19,135
4/29/2016,Friday,0,na,109,52,20,17,198
4/30/2016,Saturday,0,na,33,53,71,88,245
05-01-2016,Sunday,0,na,49,40,30,96,215
05-02-2016,Monday,0,na,4,22,17,64,107
05-03-2016,Tuesday,0,na,22,16,43,21,102
05-04-2016,Wednesday,0,na,38,16,25,29,108
05-05-2016,Thursday,1,Cinco de Mayo,19,15,54,95,183
05-06-2016,Friday,0,na,37,16,17,32,102
05-07-2016,Saturday,0,na,40,8,39,90,177
05-08-2016,Sunday,1,Mother's Day,48,28,49,115,240
05-09-2016,Monday,0,na,12,7,7,14,40
05-10-2016,Tuesday,0,na,11,15,12,22,60
05-11-2016,Wednesday,0,na,6,19,29,60,114
05-12-2016,Thursday,0,na,6,10,26,36,78
5/13/2016,Friday,0,na,26,48,20,25,119
5/14/2016,Saturday,0,na,71,30,71,63,235
5/15/2016,Sunday,0,na,40,26,58,52,176
5/16/2016,Monday,0,na,17,7,14,18,56
5/17/2016,Tuesday,0,na,9,13,18,13,53
5/18/2016,Wednesday,0,na,44,2,8,34,88
5/19/2016,Thursday,0,na,32,10,12,23,77
5/20/2016,Friday,0,na,44,55,23,20,142
5/21/2016,Saturday,0,na,55,51,54,80,240
5/22/2016,Sunday,0,na,20,32,55,52,159
5/23/2016,Monday,0,na,20,10,14,6,50
5/24/2016,Tuesday,0,na,18,1,13,24,56
5/25/2016,Wednesday,0,na,24,42,30,27,123
5/26/2016,Thursday,0,na,30,23,21,50,124
5/27/2016,Friday,0,na,29,40,30,20,119
5/28/2016,Saturday,0,na,77,46,83,48,254
5/29/2016,Sunday,0,na,33,17,53,51,154
5/30/2016,Monday,1,Memorial Day,48,14,51,41,154
5/31/2016,Tuesday,0,na,28,10,21,17,76
06-01-2016,Wednesday,0,na,23,4,17,23,67
06-02-2016,Thursday,0,na,10,15,23,29,77
06-03-2016,Friday,0,na,24,37,20,18,99
06-04-2016,Saturday,0,na,49,31,44,50,174
06-05-2016,Sunday,0,na,41,10,50,52,153
06-06-2016,Monday,0,na,19,2,21,31,73
06-07-2016,Tuesday,0,na,26,27,19,24,96
06-08-2016,Wednesday,0,na,38,20,18,26,102
06-09-2016,Thursday,0,na,21,41,22,25,109
06-10-2016,Friday,0,na,39,46,34,37,156
06-11-2016,Saturday,0,na,61,29,43,74,207
06-12-2016,Sunday,0,na,58,48,32,48,186
6/13/2016,Monday,0,na,16,12,7,9,44
6/14/2016,Tuesday,0,na,41,5,23,28,97
6/15/2016,Wednesday,0,na,38,6,14,28,86
6/16/2016,Thursday,0,na,35,9,14,24,82
6/17/2016,Friday,0,na,70,47,13,24,154
6/18/2016,Saturday,0,na,76,36,60,48,220
6/19/2016,Sunday,1,Father's Day,88,27,41,68,224
6/20/2016,Monday,0,na,33,23,20,12,88
6/21/2016,Tuesday,0,na,53,9,19,8,89
6/22/2016,Wednesday,0,na,25,7,12,16,60
6/23/2016,Thursday,0,na,44,33,16,14,107
6/24/2016,Friday,0,na,62,34,47,14,157
6/25/2016,Saturday,0,na,74,33,81,53,241
6/26/2016,Sunday,0,na,66,24,57,56,203
6/27/2016,Monday,0,na,26,16,19,15,76
6/28/2016,Tuesday,0,na,39,13,18,21,91
6/29/2016,Wednesday,0,na,30,20,51,16,117
6/30/2016,Thursday,0,na,37,3,23,23,86
07-01-2016,Friday,0,na,38,38,25,14,115
07-02-2016,Saturday,0,na,62,61,51,56,230
07-03-2016,Sunday,0,na,52,46,41,35,174
07-04-2016,Monday,1,Independence Day,22,38,33,43,136
07-05-2016,Tuesday,0,na,37,10,27,41,115
07-06-2016,Wednesday,0,na,40,11,18,61,130
07-07-2016,Thursday,0,na,30,13,37,13,93
07-08-2016,Friday,0,na,35,46,17,50,148
07-09-2016,Saturday,0,na,88,30,76,48,242
07-10-2016,Sunday,0,na,88,27,57,47,219
07-11-2016,Monday,0,na,17,2,42,23,84
07-12-2016,Tuesday,0,na,38,13,14,15,80
7/13/2016,Wednesday,0,na,21,27,7,20,75
7/14/2016,Thursday,0,na,39,5,18,6,68
7/15/2016,Friday,0,na,47,34,22,15,118
7/16/2016,Saturday,0,na,88,32,44,60,224
7/17/2016,Sunday,0,na,32,24,60,79,195
7/18/2016,Monday,0,na,48,32,19,18,117
7/19/2016,Tuesday,0,na,23,19,14,12,68
7/20/2016,Wednesday,0,na,30,25,8,17,80
7/21/2016,Thursday,0,na,22,7,10,17,56
7/22/2016,Friday,0,na,58,47,71,16,192
7/23/2016,Saturday,0,na,50,36,69,40,195
7/24/2016,Sunday,0,na,27,38,55,36,156
7/25/2016,Monday,0,na,35,14,10,11,70
7/26/2016,Tuesday,0,na,26,23,23,19,91
7/27/2016,Wednesday,0,na,23,9,18,14,64
7/28/2016,Thursday,0,na,35,8,19,44,106
7/29/2016,Friday,0,na,51,47,20,23,141
7/30/2016,Saturday,0,na,67,60,58,51,236
7/31/2016,Sunday,0,na,30,16,58,42,146
08-01-2016,Monday,0,na,9,16,11,15,51
08-02-2016,Tuesday,0,na,27,11,12,23,73
08-03-2016,Wednesday,0,na,47,33,9,25,114
08-04-2016,Thursday,0,na,26,12,24,19,81
08-05-2016,Friday,0,na,45,17,19,20,101
08-06-2016,Saturday,0,na,46,27,52,29,154
08-07-2016,Sunday,0,na,49,25,45,38,157
08-08-2016,Monday,0,na,26,19,21,9,75
08-09-2016,Tuesday,0,na,17,19,21,20,77
08-10-2016,Wednesday,0,na,23,25,12,43,103
08-11-2016,Thursday,0,na,33,19,27,43,122
08-12-2016,Friday,0,na,36,57,18,39,150
8/13/2016,Saturday,0,na,44,23,75,54,196
8/14/2016,Sunday,0,na,32,9,49,59,149
8/15/2016,Monday,0,na,46,43,27,45,161
8/16/2016,Tuesday,0,na,22,20,23,19,84
8/17/2016,Wednesday,0,na,18,17,18,22,75
8/18/2016,Thursday,0,na,23,9,13,6,51
8/19/2016,Friday,0,na,23,25,31,48,127
8/20/2016,Saturday,0,na,55,26,65,37,183
8/21/2016,Sunday,0,na,20,18,57,49,144
8/22/2016,Monday,0,na,25,12,16,12,65
8/23/2016,Tuesday,0,na,24,15,30,14,83
8/24/2016,Wednesday,0,na,23,26,6,37,92
8/25/2016,Thursday,0,na,28,9,21,55,113
8/26/2016,Friday,0,na,30,38,41,20,129
8/27/2016,Saturday,0,na,55,31,61,49,196
8/28/2016,Sunday,0,na,35,39,47,54,175
8/29/2016,Monday,0,na,19,31,17,17,84
8/30/2016,Tuesday,0,na,25,2,21,9,57
8/31/2016,Wednesday,0,na,41,34,20,15,110
09-01-2016,Thursday,0,na,10,14,14,16,54
09-02-2016,Friday,0,na,32,11,20,40,103
09-03-2016,Saturday,0,na,89,55,48,51,243
09-04-2016,Sunday,0,na,19,11,36,97,163
09-05-2016,Monday,1,Labor Day,61,21,31,45,158
09-06-2016,Tuesday,0,na,22,4,20,17,63
09-07-2016,Wednesday,0,na,38,30,17,17,102
09-08-2016,Thursday,0,na,22,2,15,22,61
09-09-2016,Friday,0,na,39,27,25,12,103
09-10-2016,Saturday,0,na,68,33,51,57,209
09-11-2016,Sunday,0,na,40,20,67,54,181
09-12-2016,Monday,0,na,10,2,14,37,63
9/13/2016,Tuesday,0,na,25,10,10,11,56
9/14/2016,Wednesday,0,na,20,13,13,27,73
9/15/2016,Thursday,0,na,26,5,23,39,93
9/16/2016,Friday,0,na,23,43,23,51,140
9/17/2016,Saturday,0,na,75,38,99,60,272
9/18/2016,Sunday,0,na,52,47,55,57,211
9/19/2016,Monday,0,na,37,41,22,19,119
9/20/2016,Tuesday,0,na,12,12,16,11,51
9/21/2016,Wednesday,0,na,40,49,21,10,120
9/22/2016,Thursday,0,na,49,31,31,35,146
9/23/2016,Friday,0,na,36,27,30,44,137
9/24/2016,Saturday,0,na,67,38,62,40,207
9/25/2016,Sunday,0,na,31,20,50,73,174
9/26/2016,Monday,0,na,8,19,17,9,53
9/27/2016,Tuesday,0,na,31,33,18,45,127
9/28/2016,Wednesday,0,na,27,41,22,49,139
9/29/2016,Thursday,0,na,18,11,16,12,57
9/30/2016,Friday,0,na,48,21,33,27,129
10-01-2016,Saturday,0,na,30,28,55,78,191
10-02-2016,Sunday,0,na,46,22,61,42,171
10-03-2016,Monday,0,na,34,8,17,15,74
10-04-2016,Tuesday,0,na,32,19,12,42,105
10-05-2016,Wednesday,0,na,12,16,8,22,58
10-06-2016,Thursday,0,na,8,26,16,25,75
10-07-2016,Friday,0,na,55,45,28,21,149
10-08-2016,Saturday,0,na,82,45,55,46,228
10-09-2016,Sunday,0,na,57,9,44,79,189
10-10-2016,Monday,1,Columbus Day,37,31,41,85,194
10-11-2016,Tuesday,0,na,19,45,14,8,86
10-12-2016,Wednesday,0,na,9,11,17,35,72
10/13/2016,Thursday,0,na,13,26,13,16,68
10/14/2016,Friday,0,na,71,53,21,36,181
10/15/2016,Saturday,0,na,66,47,54,47,214
10/16/2016,Sunday,0,na,37,11,45,56,149
10/17/2016,Monday,0,na,6,15,11,9,41
10/18/2016,Tuesday,0,na,32,32,17,28,109
10/19/2016,Wednesday,0,na,25,34,23,19,101
10/20/2016,Thursday,0,na,20,15,25,19,79
10/21/2016,Friday,0,na,46,27,32,16,121
10/22/2016,Saturday,0,na,73,56,43,46,218
10/23/2016,Sunday,0,na,32,32,24,54,142
10/24/2016,Monday,0,na,30,12,17,20,79
10/25/2016,Tuesday,0,na,27,29,25,15,96
10/26/2016,Wednesday,0,na,18,30,14,23,85
10/27/2016,Thursday,0,na,33,22,16,26,97
10/28/2016,Friday,0,na,38,38,38,28,142
10/29/2016,Saturday,0,na,100,47,55,54,256
10/30/2016,Sunday,0,na,8,33,59,96,196
10/31/2016,Monday,1,Halloween,39,8,52,82,181
11-01-2016,Tuesday,0,na,33,37,17,23,110
11-02-2016,Wednesday,0,na,41,41,23,16,121
11-03-2016,Thursday,0,na,61,33,44,60,198
11-04-2016,Friday,0,na,33,22,23,28,106
11-05-2016,Saturday,0,na,66,45,59,33,203
11-06-2016,Sunday,0,na,24,26,40,48,138
11-07-2016,Monday,0,na,15,9,17,20,61
11-08-2016,Tuesday,0,na,28,13,20,16,77
11-09-2016,Wednesday,0,na,27,36,15,14,92
11-10-2016,Thursday,0,na,23,32,12,16,83
